pid,Name,Pos,DraftPick,Age,Team,Season,GP,GS,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,BA,PF,Pts,AtRimFG,AtRimFGA,AtRimFGP,LowPostFG,LowPostFGA,LowPostFGP,MidRangeFG,MidRangeFGA,MidRangeFGP,PER,EWA,ORtg,DRtg,OWS,DWS,WS,WS/48,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,+/-,OVR,POT,HGT,STRE,SPD,JMP,ENDU,INS,DNK,FT,FG,TP,OIQ,DIQ,DRB,PSS,REB
257,Stephen Curry,G,7,27,LAC,2015,82,82,41.57696342,7.268292683,19.3902439,37.48427673,3.292682927,9.682926829,34.00503778,5.292682927,5.695121951,92.93361884,0.548780488,2.158536585,2.707317073,6.646341463,2.536585366,1.036585366,0.158536585,1.243902439,0.573170732,23.12195122,1.012195122,1.841463415,54.96688742,1.219512195,2.329268293,52.35602094,1.743902439,5.536585366,31.49779736,16.08765162,7.242871404,0,0,0,0,0,0,52.79925145,49.93710692,29.37106918,0,0,0,27.24824966,0,0,5.792322944,25.87003348,-8.609756098,72,72,33,23,80,23,72.8,79.4,71,79.4,79.4,79.4,79.4,51.2,79.4,79.4,20.6
143,Rajon Rondo,PG,21,29,NYK,2015,82,82,40.23177553,5.487804878,12.95121951,42.37288136,1.890243902,5.158536585,36.643026,3.073170732,4.93902439,62.22222222,1.158536585,3.817073171,4.975609756,8.573170732,2.207317073,1.036585366,0.158536585,0.817073171,0.902439024,15.93902439,2.12195122,3.451219512,61.48409894,0.829268293,2.12195122,39.08045977,0.646341463,2.219512195,29.12087912,15.60340402,6.044440046,0,0,0,0,0,0,52.69311401,39.83050847,38.13559322,0,0,0,30.51335959,0,0,7.297210127,18.4523919,2.097560976,64,64,25,44,75.2,57.2,80,52.4,65.6,20,54.8,49.4,65,46.4,77,80,68
182,Jimmy Butler,SF,30,28,CHA,2017,82,82,40.04328097,6.207317073,15.7804878,39.33539413,2.109756098,7.048780488,29.93079585,4.902439024,5.682926829,86.26609442,0.792682927,3.219512195,4.012195122,5.024390244,2.62195122,1.243902439,0.317073171,0.914634146,1.048780488,19.42682927,1.853658537,2.926829268,63.33333333,1.073170732,2.512195122,42.7184466,1.170731707,3.292682927,35.55555556,14.13995738,4.75700639,107.6475237,113.7001423,2.888709884,1.931372354,4.820082239,0.070461548,53.13400576,44.66769706,36.01236476,2.260391451,8.924353785,5.639543523,19.93918059,1.538646602,0.741348176,7.171256271,22.72443058,-1.841463415,68,70,48,60.8,71.6,67.4,73.4,65,70.4,64.4,68.6,60.8,63.8,56,73.4,56.6,29
272,James Harden,SG,3,28,PHI,2017,82,82,39.853488,6.304878049,14.97560976,42.1009772,2.292682927,7.097560976,32.3024055,5.512195122,6.304878049,87.42746615,1.37804878,4.841463415,6.219512195,8.207317073,2.536585366,1.353658537,0.195121951,0.926829268,0.829268293,20.41463415,2.304878049,3.402439024,67.74193548,1.085365854,2.243902439,48.36956522,0.62195122,2.231707317,27.86885246,20.02066973,12.38344897,122.3521667,113.9210299,9.566709032,1.836823597,11.40353263,0.167494464,57.50680188,47.39413681,42.1009772,3.976404755,13.61270346,8.857001318,32.08498035,1.670016218,0.439322955,7.145409075,21.93172273,1.231707317,74,75,41,56,72.8,64.4,66.8,62,80,69.2,65,66.8,72.2,51.8,80,80,80
256,Klay Thompson,SF,11,25,LAL,2015,82,82,39.56864292,5.926829268,14.85365854,39.90147783,2.792682927,7.451219512,37.47954173,4.158536585,4.743902439,87.66066838,0.634146341,2.609756098,3.243902439,1.402439024,1.56097561,1.182926829,0.207317073,1.146341463,1.304878049,18.80487805,1.56097561,2.597560976,60.09389671,0.890243902,2.195121951,40.55555556,0.682926829,2.609756098,26.1682243,12.30877504,2.33584217,0,0,0,0,0,0,55.50116617,50.16420361,31.93760263,0,0,0,5.770744066,0,0,4.607100694,20.47079561,-1.524390244,65,69,48,58.4,71,59,77,63.8,65.6,69.8,63.2,75.2,61.4,49.4,61.4,44,20.6
261,Andre Iguodala,GF,9,31,MIA,2015,82,82,39.21488375,5.195121951,12.67073171,41.00096246,1.926829268,5.292682927,36.40552995,2.804878049,3.487804878,80.41958042,1.048780488,4.024390244,5.073170732,1.926829268,1.780487805,1.280487805,0.341463415,0.93902439,1.695121951,15.12195122,1.585365854,3.109756098,50.98039216,0.914634146,2.170731707,42.13483146,0.768292683,2.097560976,36.62790698,10.77651562,0.353898224,0,0,0,0,0,0,53.22619416,41.77093359,27.52646776,0,0,0,7.210302619,0,0,6.266955118,17.92047547,-1.12195122,61,61,44,66.2,66.8,67.4,68,51.2,54.2,56,56,59,56,51.8,57.2,56,41
117,Jabari Parker,GF,2,24,ORL,2019,82,82,39.18577313,7.634146341,16.30487805,46.82124159,3.170731707,8.06097561,39.33434191,4.487804878,5.231707317,85.78088578,1.975609756,5.780487805,7.756097561,6.012195122,2.231707317,2.743902439,1.280487805,0.93902439,0.902439024,22.92682927,1.93902439,2.853658537,67.94871795,1.073170732,2.219512195,48.35164835,1.451219512,3.170731707,45.76923077,25.23733202,18.84755718,126.214849,105.1330513,11.33388501,4.958710213,16.29259523,0.243382436,61.60864094,49.43904263,32.08676141,5.700134231,16.26447009,11.04863671,24.69033513,3.416091665,2.942003989,5.997011326,22.79830474,1.56097561,73,77,52,90,67,63,89,52,86,66,72,73,65,62,59,63,61
466,Goran Dragic,PG,45,31,MIL,2017,82,82,39.12786426,5.634146341,14.02439024,40.17391304,2.085365854,6.158536585,33.86138614,3.207317073,4.451219512,72.05479452,0.56097561,2.524390244,3.085365854,5.134146341,2.634146341,1.012195122,0.243902439,0.987804878,0.987804878,16.56097561,1.926829268,3.341463415,57.66423358,0.768292683,1.890243902,40.64516129,0.853658537,2.634146341,32.40740741,11.74609629,0.952771608,103.8806922,116.6551116,1.104306409,0.765634813,1.869941222,0.027974942,51.80833206,43.91304348,31.73913043,1.558934789,7.334538915,4.382473088,20.64646916,1.286340482,0.569381476,8.240500534,20.71511567,-2.670731707,64,64,33,38,77,66.2,68,61.4,69.8,50,60.8,58.4,62.6,44.6,60.8,70.4,34.4
272,James Harden,SF,3,26,PHI,2015,82,82,39.06915559,6.646341463,15.65853659,42.44548287,2.902439024,7.841463415,37.01399689,4.146341463,4.792682927,86.51399491,1.085365854,4.414634146,5.5,6,2.426829268,2.085365854,0.268292683,0.87804878,0.975609756,20.34146341,1.804878049,3.012195122,59.91902834,0.792682927,1.597560976,49.61832061,1.146341463,3.207317073,35.74144487,19.10673133,10.97438149,0,0,0,0,0,0,57.24404909,50.07788162,30.60747664,0,0,0,23.50713066,0,0,6.829475881,22.34085764,0.402439024,70,72,40,51.8,72.8,64.4,80,63.2,80,71,68.6,74.6,66.2,53,57.8,68,53
256,Klay Thompson,SF,11,27,LAL,2017,82,82,39.01078446,7.43902439,17.04878049,43.63376252,3.085365854,8.573170732,35.9886202,4.256097561,4.902439024,86.8159204,0.512195122,2.707317073,3.219512195,1.036585366,1.841463415,1.182926829,0.463414634,1.012195122,1.085365854,22.2195122,2.036585366,3.170731707,64.23076923,0.792682927,1.756097561,45.13888889,1.524390244,3.548780488,42.95532646,14.82075661,5.501134565,109.9194821,116.6238694,3.585788642,0.775166636,4.360955278,0.065437144,57.84567713,50.28612303,28.75536481,1.498678427,7.70104688,4.643640956,4.3824788,1.494214368,1.097777352,4.794016052,23.4858932,-0.682926829,68,69,48,30.2,74,80,65,80,80,72.8,71,77.6,63.8,53,55.4,41.6,20
