,PID,0_x,0_y,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,11_x,12_x,13_x,14_x,15,16,17,18,19,20,21,22,23,0_x,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y,11_y,12_y,13_y,14_y,0_y,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,Anthony Davis,82.0,36.4,53.4,34.0,82.8,2.1,7.292999999999999,74.4,3.9195,48.3,6.122999999999999,40.0,28.9,61.2,11.1,40.9,7.7,24.8,16.5,10.8,2.0,5.6,8.6,30.0,22,81,93,82,99,76,73,78,76,72,91,82,86,83,70,55.99236349114023,73.00640679910421,76.32805859251654,85.3335788253762,66.36656431337926,58.88668620594761,83.73190101387615,58.01824056658575,70.89849807919812,39.93446068538339,49.981585438362096,60.42725911017002,68.37480255252672,61.75117766253086,74.76909492138208
1,1,Anthony DavisSIM,81.0,37.9,45.6,29.9,79.7,2.3,4.5,61.7,4.7,53.5,4.6,36.3,27.0,54.1,23.9,3.05,7.6,21.8,14.9,16.1,1.6,3.1,6.0,26.1,38,86,67,70,62,51,81,72,77,74,80,62,69,63,62,43.504532203807585,67.97736969458666,35.82052622115436,49.40140468553922,82.71358837344413,74.58167091651322,49.53718544817867,61.44390057389047,59.928533610186676,49.054637757084485,60.82092277945882,63.676875341964156,53.56703384325458,56.62241174435472,69.79773591438135
2,2,Matias Mainoldi,82.0,37.15219701,47.9259732,39.60784314,89.93435449,1.0731707320000001,4.024390244,71.51515152,2.2317073169999997,45.35519126,3.5243902439999997,44.6366782,29.58693839,62.66684765,48.81940013,29.16400766,5.551775889,15.92476136,10.89430719,7.991449117999999,3.052193102,5.101069772,3.534907923,26.85655895,53,69,75,81,80,53,76,75,72,77,63,64,58,49,56,53.76019456525932,71.11055302240442,80.19784071168192,83.95889248102735,64.70915991331206,52.72697722221016,75.1597615578473,72.62286267384708,68.39817125214059,72.22217875863493,58.1519871007883,62.3439382588785,59.40083968797844,49.06036351164663,52.21461013035545
3,3,Don Jenkins,82.0,36.81462205,53.87275242,39.46587537,75.63131313,1.12195122,4.268292683,74.0,5.0731707319999995,60.57692308,0.073170732,33.33333333,37.18372189,67.51259418,46.61134163,54.77178423,9.010256496,22.35716753,16.04391594,23.85413512,3.653516329,4.395370389,6.4642682,29.13656,65,87,62,50,61,100,79,52,44,56,77,88,81,69,85,65.2814080997129,90.93672990809883,66.011265539774,56.92921333742346,71.35600940183907,79.93624884799384,83.70640538255833,53.25858393026906,52.498751242720225,57.660984308040966,76.22983144747573,79.65934472310124,62.76505877549663,64.52129722063069,74.49050992040107
4,4,Tyrone Marshall,82.0,36.19280419,42.70833333,31.81169757,75.74626866,0.87804878,4.256097561,62.75071633,3.597560976,51.86440678,2.329268293,31.93717277,24.23886498,54.77356872,45.63802083,34.89583333,6.331875422,18.71966741,12.50663134,24.11507391,1.715441995,3.028578576,5.643850461,28.86232552,53,72,76,69,58,66,69,55,64,57,69,52,59,55,66,52.016614374411866,70.9551275252065,65.91716224199202,66.75775040149543,61.57742978342877,62.82813954209229,75.01483758884531,53.70377244204284,61.08402175874535,62.418090798963014,65.09067625096627,58.71190505838441,66.35080341275864,60.343264621371425,63.221425869144326
5,5,Aaron Drum,82.0,35.62759342,42.52336449,38.54324734,95.10703364,0.573170732,2.146341463,68.75,1.3536585369999998,43.24324324,4.12195122,36.39053254,25.61605738,58.02308317,51.32398754,25.46728972,4.68430698,14.82037523,9.845447300000002,41.0307789,2.249651328,0.487462855,7.493626915,24.651034699999997,39,64,69,56,49,42,65,82,67,82,59,64,81,81,63,29.455536459453434,60.24385504022727,67.82048133031515,62.274756472143345,61.395705370364745,48.292538374353235,55.262504421634375,80.72049692608833,71.55085869168421,76.27937862305802,67.2045941085048,64.05439745475121,84.75625284774529,82.31084531462145,65.03061066898418
6,6,Matias Mainoldi,82.0,35.08106907,43.78109453,37.5,89.47368421,0.87804878,3.536585366,63.44827586,1.93902439,44.02515723,3.487804878,38.46153846,26.00321154,57.93418879,47.76119403,27.00781805,6.058177662,15.75691371,10.93350662,10.04098921,3.5160586719999998,4.962917343,4.732562571,25.97705988,53,67,73,80,78,51,74,73,68,73,59,63,56,47,54,53.047124586305905,65.82191109125706,77.79998734449143,79.79149609989167,59.21084958067302,47.539384613263266,69.004183359419,71.79405628405841,65.76176106847,70.69952881320363,53.75478204622417,67.40904174272619,60.17944666662432,51.30130785501561,52.160847956050404
7,7,Dexter Robinson,82.0,35.03957785,46.62466247,36.75564682,86.64495114,1.3170731709999999,3.536585366,66.20689655,1.780487805,46.57534247,2.292682927,42.0212766,25.42591675,59.42636107,43.83438344,27.63276328,6.008980382000001,16.84647955,11.46130519,25.05606634,3.0840474939999996,6.8433231789999995,8.707306112000001,22.12897872,60,62,83,97,66,39,50,67,61,64,51,50,57,71,50,60.31749375345126,57.81820451549748,80.41596780581523,90.70898433103481,60.70524359656371,41.05869389446572,51.70418884831453,64.78794525313384,57.35254128690586,63.071263548781516,47.925587575207814,62.60209468432582,69.65314769274354,66.56751992137781,53.752793559944465
8,8,Tyrone Marshall,82.0,34.98627824,44.83240223,32.80141844,74.07407407,1.219512195,4.451219512,64.65753425,3.829268293,52.22929936,2.304878049,30.15873016,24.88221607,56.36722256,39.38547486,41.48044693,5.422499919,15.57359056,10.45226962,23.46179482,1.835221259,2.777057751,5.137714367,28.34301309,53,69,74,68,55,60,66,51,61,52,68,51,57,51,61,53.271144696370506,69.60348275235647,67.48104500442562,62.41685285942021,57.31895483432293,63.1635197166538,75.72349553170167,51.80983528633569,59.89946368572053,52.966350370649536,64.02994575548396,55.65278201039526,66.81696300608809,57.726014222198074,54.28110178858908
9,9,Julius Sanders,82.0,34.80841398,44.37548487,40.78947368,83.07291667,0.634146341,2.682926829,63.63636364,2.304878049,43.91534392,3.317073171,37.13235294,28.0926385,58.67787868,47.16834756,29.790535300000002,4.238176122,15.33428263,9.95314569,48.896908399999994,2.9789744330000003,0.830523695,9.156629812,26.11924951,33,60,62,58,55,66,48,66,68,66,73,68,90,80,70,34.68106323017905,62.88710306580471,69.7079866308369,62.773580902926454,64.76693494204585,55.96504663807369,50.109545410279395,64.96306900257885,65.7787183300405,67.94376688935587,65.27764404463406,68.39426735507182,84.75654487203387,85.34775032687087,60.82529248968531
