pid,Name,Pos,DraftPick,Age,Team,Season,GP,GS,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,BA,PF,Pts,AtRimFG,AtRimFGA,AtRimFGP,LowPostFG,LowPostFGA,LowPostFGP,MidRangeFG,MidRangeFGA,MidRangeFGP,PER,EWA,ORtg,DRtg,OWS,DWS,WS,WS/48,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,+/-,OVR,POT,HGT,STRE,SPD,JMP,ENDU,INS,DNK,FT,FG,TP,OIQ,DIQ,DRB,PSS,REB
272,James Harden,SG,3,28,PHI,2017,164,164,34.66242927,6.323170732,14.84146341,42.60476582,1.890243902,5.359756098,35.26734926,4.012195122,4.682926829,85.67708333,1.597560976,4.62804878,6.225609756,8.030487805,2.542682927,1.115853659,0.25,0.945121951,1.329268293,18.54878049,2.109756098,3.43902439,61.34751773,1.073170732,2.457317073,43.67245658,1.25,3.585365854,34.86394558,16.84744249,14.36135934,122.1206435,113.2734082,17.84093444,4.144762613,21.98569705,0.185643023,54.87171347,36.11339359,31.55299918,5.14401486,15.04645011,10.07134072,36.66919608,1.584410636,0.681892119,7.521862103,23.99665564,1.676829268,74,76,41,56,72.8,64.4,66.8,62,80,69.2,65,66.8,72.2,51.8,80,80,80
272,James Harden,SG,3,28,HOU,2017,164,164,34.56203688,6.237804878,14.54268293,42.89308176,2.006097561,5.408536585,37.09131905,3.981707317,4.695121951,84.80519481,1.701219512,5.018292683,6.719512195,8.256097561,2.420731707,1.256097561,0.286585366,0.932926829,1.195121951,18.46341463,2.024390244,3.323170732,60.91743119,1.036585366,2.317073171,44.73684211,1.170731707,3.493902439,33.5078534,18.06234624,17.060575,123.416151,114.9320381,19.86395157,2.572097989,22.43604956,0.189995997,55.58411043,37.19077568,32.2851153,5.644603416,16.29539426,11.02740931,37.82821365,1.791358162,0.763947805,7.287612894,24.01247075,0.975609756,74,76,41,56,72.8,64.4,66.8,62,80,69.2,65,66.8,72.2,51.8,80,80,80
272,James Harden,SG,3,28,BOS,2017,164,164,34.32290764,6.56097561,14.7804878,44.38943894,1.896341463,5.12195122,37.02380952,3.987804878,4.658536585,85.60209424,1.725609756,5.030487805,6.756097561,8.079268293,2.335365854,1.256097561,0.256097561,0.914634146,1.384146341,19.00609756,2.317073171,3.634146341,63.75838926,1.073170732,2.396341463,44.78371501,1.274390244,3.62804878,35.12605042,18.56536199,18.06948245,125.3223897,111.4481885,21.41244272,5.002048119,26.41449084,0.225245209,56.46411802,34.65346535,31.51815182,5.936624895,16.28896363,11.26955696,37.68721332,1.799296884,0.691695508,6.938003594,24.27632904,3.5,74,76,41,56,72.8,64.4,66.8,62,80,69.2,65,66.8,72.2,51.8,80,80,80
478,Damian Lillard,G,6,27,PHI,2017,164,164,33.10464439,6.823170732,16.1097561,42.35427706,2.420731707,6.182926829,39.15187377,4.140243902,4.603658537,89.93377483,0.951219512,2.823170732,3.774390244,5.5,2.225609756,1.079268293,0.158536585,1.091463415,1.225609756,20.20731707,1.567073171,2.530487805,61.92771084,1.12195122,2.530487805,44.3373494,1.713414634,4.865853659,35.21303258,15.83393137,10.98566583,118.9211905,114.854319,14.65300689,2.949718565,17.60272546,0.15562823,55.71246049,38.38001514,28.57683573,3.206975122,9.610441376,6.393258501,27.32045893,1.604574903,0.452767486,6.136103826,26.30992416,0.743902439,70,70,36,47,78.2,50,68,65,71.6,75.2,68,72.2,69.8,48.8,80,62,54.2
272,James Harden,SG,3,28,OKC,2017,164,164,32.94077889,6.268292683,14.4695122,43.32069111,1.81097561,5.231707317,34.61538462,3.774390244,4.493902439,83.98914518,1.62195122,4.743902439,6.365853659,7.804878049,2.195121951,1.18902439,0.195121951,0.93902439,1.134146341,18.12195122,2.12804878,3.475609756,61.22807018,1.12804878,2.335365854,48.30287206,1.201219512,3.426829268,35.05338078,17.75422691,15.59777954,122.666553,112.4808918,17.57308251,4.370880979,21.94396349,0.194974851,55.09253767,36.15676359,31.05773283,5.409095855,16.18557515,10.73589,37.30680521,1.750650815,0.544970885,6.673389489,24.10403704,1.256097561,74,76,41,56,72.8,64.4,66.8,62,80,69.2,65,66.8,72.2,51.8,80,80,80
272,James Harden,SG,3,28,CLE,2017,164,164,32.93529606,6.054878049,14.25,42.49037227,1.847560976,5.323170732,34.70790378,3.634146341,4.25,85.50932568,1.75,4.859756098,6.609756098,7.62195122,2.445121951,1.140243902,0.335365854,0.896341463,1.262195122,17.59146341,1.932926829,3.134146341,61.67315175,1.12195122,2.359756098,47.54521964,1.152439024,3.432926829,33.57015986,17.34511287,14.71566739,120.7222174,110.1840447,16.41037093,5.675104362,22.08547529,0.196264868,54.56409248,37.35558408,29.8245614,5.909503634,16.32766669,11.13179873,37.03655814,1.698327639,0.953344032,7.584125159,24.31390099,1.853658537,74,76,41,56,72.8,64.4,66.8,62,80,69.2,65,66.8,72.2,51.8,80,80,80
299,Blake Griffin,FC,1,28,MEM,2017,164,164,32.60996018,7.073170732,15.90243902,44.47852761,1.554878049,4.12804878,37.6661743,4.146341463,5.207317073,79.62529274,1.725609756,5.085365854,6.81097561,4.573170732,2.365853659,0.75,0.512195122,1.12195122,2.536585366,19.84756098,2.579268293,4.018292683,64.18816388,1.512195122,3.676829268,41.12769486,1.426829268,4.079268293,34.97757848,15.29764059,9.041402606,114.6623153,113.7406079,11.16832886,3.605675325,14.77400419,0.132600554,54.54527174,25.95858896,32.74539877,5.696934441,17.18846815,11.37512274,23.87168684,1.130653053,1.470542403,6.501863421,27.01202529,0.56097561,65,67,56,50.6,60.2,56,65.6,65,80,56.6,56.6,62.6,64.4,26,61.4,68.6,57.8
196,Kyrie Irving,SG,1,25,UTA,2017,164,164,32.50371744,6.701219512,15.95121951,42.01070336,2.274390244,6.097560976,37.3,3.81097561,4.347560976,87.65778401,0.68902439,2.585365854,3.274390244,3.676829268,2.225609756,1.152439024,0.12195122,1.073170732,1.274390244,19.48780488,1.43902439,2.298780488,62.5994695,1.493902439,3.146341463,47.48062016,1.493902439,4.408536585,33.88658368,13.64504558,6.672640935,111.1866942,113.0855397,8.011068451,3.777582757,11.78865121,0.106152072,54.54446159,38.22629969,27.25535168,2.396807833,8.711276393,5.604340643,21.0705975,1.74476105,0.349753385,6.22926423,26.66904124,-0.048780488,69,72,46,80,80,38,62.6,66.2,80,73.4,66.8,69.8,68.6,39.8,76.4,60.8,20
478,Damian Lillard,G,6,27,BOS,2017,164,164,31.73838028,6.463414634,15.65853659,41.27725857,2.341463415,6.06097561,38.63179074,3.506097561,3.865853659,90.69400631,1.12195122,3.06097561,4.182926829,5.5,2.042682927,1.25,0.176829268,1.030487805,1.176829268,18.77439024,1.493902439,2.536585366,58.89423077,1.085365854,2.384146341,45.52429668,1.542682927,4.676829268,32.98565841,16.03599086,10.95087811,115.3665906,117.0550307,11.9413619,1.056500846,12.99786275,0.119862844,54.0752241,38.70716511,24.68847352,3.866159505,10.69611951,7.257311851,29.40596334,1.927816731,0.501368303,5.883468682,26.49920968,-2.37804878,70,70,36,47,78.2,50,68,65,71.6,75.2,68,72.2,69.8,48.8,80,62,54.2
478,Damian Lillard,G,6,27,CLE,2017,164,164,31.41909438,6.585365854,15.49390244,42.50295159,2.347560976,5.786585366,40.56902002,3.542682927,3.951219512,89.66049383,0.993902439,3.304878049,4.298780488,5.115853659,1.932926829,1.103658537,0.146341463,1.262195122,1.085365854,19.06097561,1.591463415,2.670731707,59.5890411,1.103658537,2.493902439,44.25427873,1.542682927,4.542682927,33.95973154,16.32563032,11.43471676,117.9069678,111.8744045,13.42892951,4.387150739,17.81608025,0.165964762,55.3055072,37.34750098,25.50177096,3.518233185,11.63946451,7.589149167,27.17886558,1.723162976,0.436079944,5.608395963,26.31127298,0.536585366,70,70,36,47,78.2,50,68,65,71.6,75.2,68,72.2,69.8,48.8,80,62,54.2
