pid	Name	Pos	DraftPick	Age	Team	Season	GP	GS	Min	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OReb	DReb	Reb	Ast	TO	Stl	Blk	BA	PF	Pts	AtRimFG	AtRimFGA	AtRimFGP	LowPostFG	LowPostFGA	LowPostFGP	MidRangeFG	MidRangeFGA	MidRangeFGP	PER	EWA	ORtg	DRtg	OWS	DWS	WS	WS/48	TS%	3PAr	FTr	ORB%	DRB%	TRB%	AST%	STL%	BLK%	TOV%	USG%	+/-	OVR	POT	HGT	STRE	SPD	JMP	ENDU	INS	DNK	FT	FG	TP	OIQ	DIQ	DRB	PSS	REB
84	Karl Anthony-Towns	FC		23	GSW	2018	82	82	41.11525478	6.902439024	16.19512195	42.62048193	2.743902439	7.902439024	34.72222222	5.182926829	5.975609756	86.73469388	2.62195122	6.926829268	9.548780488	2.304878049	1.487804878	1.451219512	0.987804878	0.975609756	1.43902439	21.73170732	1.56097561	2.463414634	63.36633663	1.231707317	2.43902439	50.5	1.365853659	3.390243902	40.28776978	19.12648883	10.83760616	120.9909431	109.3230324	8.104454103	3.75905784	11.86351194	0.16890312	57.72220783	48.79518072	36.89759036	6.97033402	18.76907846	12.81347449	9.436567725	1.73333264	2.157504945	3.951800985	21.27317726	0.219512195	76	82	67	75	66	55	87	66	91	68	76	76	66	65	62	50	85
272	James Harden	SG	3	28	PHI	2017	82	82	40.20671648	6.987804878	16.1097561	43.37623013	2.963414634	7.93902439	37.32718894	5.56097561	6.243902439	89.0625	1.634146341	4.829268293	6.463414634	8.06097561	2.719512195	1.170731707	0.365853659	1.048780488	0.914634146	22.5	2.146341463	3.682926829	58.2781457	1.207317073	2.536585366	47.59615385	0.670731707	1.951219512	34.375	21.56482576	14.51947686	124.7778426	114.0489835	11.28301626	1.74582401	13.02884027	0.189685676	59.65931138	49.28084784	38.75851628	4.569222461	13.41896784	9.007918951	31.42887514	1.435422609	0.834438877	7.210854438	23.0863043	2.524390244	74	75	41	56	72.8	64.4	66.8	62	80	69.2	65	66.8	72.2	51.8	80	80	80
802	Nikola Jokic	FC	41	25	NYK	2020	82	82	40.14709379	9.548780488	19.98780488	47.77303234	4.487804878	10.7804878	41.62895928	5.987804878	6.207317073	96.46365422	3.292682927	9.195121951	12.48780488	7.487804878	3.048780488	1.317073171	2.219512195	1.231707317	2.134146341	29.57317073	1.890243902	2.902439024	65.12605042	2.048780488	3.353658537	61.09090909	1.12195122	2.951219512	38.01652893	31.27404307	26.49902385	133.1062419	108.0637143	17.99063678	4.166103051	22.15673983	0.323056981	65.08459656	53.93532642	31.05552166	9.619731637	25.1009485	17.62295991	29.93227876	1.624959433	5.209857317	6.709752222	27.91627382	8.073170732	79	81	63	69	83	61	94	79	65	85	78	82	76	40	49	84	86
182	Jimmy Butler	SF	30	28	CHA	2017	82	82	40.13652114	6.536585366	15.59756098	41.90774042	2.390243902	6.743902439	35.44303797	4.524390244	5.487804878	82.44444444	0.658536585	3.341463415	4	4.548780488	2.365853659	1.463414634	0.5	1.170731707	0.792682927	19.98780488	1.853658537	3.207317073	57.79467681	1.012195122	2.329268293	43.45549738	1.280487805	3.317073171	38.60294118	15.74203873	6.866694634	111.0196504	112.3424746	4.293146614	2.407874661	6.701021275	0.09773017	55.48408937	43.23690383	35.18373729	1.874250003	9.430809873	5.668343204	18.11816444	1.804877884	1.15871932	6.567366283	22.19149198	1.43902439	68	69	48	60.8	71.6	67.4	73.4	65	70.4	64.4	68.6	60.8	63.8	56	73.4	56.6	29
47	D'Angelo Russell	G		24	BKN	2020	82	82	39.86801786	7.524390244	16.5	45.60236511	3.243902439	8.146341463	39.82035928	3.914634146	5.036585366	77.72397094	1.085365854	3.487804878	4.573170732	9.170731707	1.890243902	1.804878049	0.243902439	0.780487805	0.902439024	22.20731707	2.048780488	3.06097561	66.93227092	1.280487805	2.670731707	47.94520548	0.951219512	2.62195122	36.27906977	23.2163	16.22071524	128.6167892	110.0539717	12.69788058	3.368210973	16.06609156	0.235891873	59.32678274	49.37176644	30.52475979	3.111423735	9.668487057	6.444970575	36.89486323	2.251099683	0.59055015	5.049781068	22.59482691	4.682926829	72	76	43	55	61	52	86	61	61	54	70	74	80	63	78	66	39
256	Klay Thompson	SF	11	27	LAL	2017	82	82	39.5857008	7.207317073	17.24390244	41.79632249	2.975609756	8.768292683	33.93602225	4.975609756	5.548780488	89.67032967	0.585365854	2.463414634	3.048780488	0.926829268	1.951219512	1.024390244	0.597560976	0.902439024	1.073170732	22.36585366	2.195121951	3.512195122	62.5	0.719512195	1.634146341	44.02985075	1.317073171	3.329268293	39.56043956	14.17962902	4.753901242	109.3674897	118.8418172	3.49654815	-0.123475595	3.373072555	0.049878655	56.80832611	50.84865629	32.17821782	1.691380807	6.9650375	4.356829398	4.018492899	1.279573819	1.351554659	4.956015364	23.72296959	-5.280487805	68	70	48	30.2	74	80	65	80	80	72.8	71	77.6	63.8	53	55.4	41.6	20
502	Kawhi Leonard	GF	15	29	MIA	2020	82	82	39.22762554	9.646341463	20.53658537	46.97149644	4.207317073	11	38.24833703	7.780487805	8.256097561	94.23929099	2.853658537	7.243902439	10.09756098	3.024390244	2.658536585	2.743902439	1.463414634	1.268292683	0.585365854	31.2804878	2.5	3.524390244	70.93425606	1.37804878	2.43902439	56.5	1.56097561	3.573170732	43.68600683	31.46599626	26.84202688	127.1732439	105.9804802	14.18703871	4.862614226	19.04965294	0.284264372	64.71128424	53.56294537	40.20190024	8.555432931	20.50600255	14.70218244	13.78056613	3.469411201	3.528241526	5.499828446	29.83679413	3.304878049	79	79	48	75	81	79	79	81	90	80	74	79	71	70	67	59	86
466	Goran Dragic	PG	45	31	MIL	2017	82	82	39.15790517	5.585365854	13.54878049	41.22412241	2.243902439	6.158536585	36.43564356	3.134146341	4.341463415	72.19101124	0.646341463	2.451219512	3.097560976	5.317073171	2.841463415	1.036585366	0.280487805	0.963414634	1.12195122	16.54878049	1.87804878	3.219512195	58.33333333	0.695121951	1.695121951	41.00719424	0.768292683	2.475609756	31.03448276	11.99870768	1.276337769	104.8679917	117.2229013	1.543484475	0.493434525	2.036919	0.030449607	53.52466	45.45454545	32.04320432	1.881152538	7.030493667	4.474670268	20.78283154	1.307423833	0.666572747	9.190306396	20.4284656	-2.426829268	64	64	33	38	77	66.2	68	61.4	69.8	50	60.8	58.4	62.6	44.6	60.8	70.4	34.4
1063	Markelle Fultz	PG		20	CHI	2017	82	82	39.0507635	4.756097561	12.62195122	37.68115942	1.609756098	5.280487805	30.48498845	2.329268293	3.62195122	64.30976431	0.951219512	3.5	4.451219512	3.963414634	1.695121951	1.219512195	0.219512195	0.695121951	0.670731707	13.45121951	1.817073171	3.109756098	58.43137255	0.817073171	2.512195122	32.52427184	0.512195122	1.719512195	29.78723404	10.35387577	-0.823480532	100.8582411	113.7279927	-0.034330926	1.817350567	1.783019641	0.026727232	47.31144053	41.83574879	28.69565217	2.622613684	9.940074791	6.227144574	16.10738382	1.542186405	0.507464186	5.962185162	17.54408521	-6.682926829	62	76	37	62	68	65	63.2	50.6	50	29.6	53	67.4	59.6	54.2	67.4	52.4	56.6
84	Karl Anthony-Towns	FC		25	GSW	2020	82	82	38.80582024	7.890243902	16.96341463	46.51329978	3.707317073	9.012195122	41.13667118	4.93902439	5.756097561	85.80508475	3.048780488	7.914634146	10.96341463	2.56097561	1.963414634	1.573170732	1.341463415	0.865853659	1.829268293	24.42682927	1.475609756	2.37804878	62.05128205	1.37804878	2.37804878	57.94871795	1.329268293	3.195121951	41.60305344	24.71506111	17.30677819	125.7606935	106.1456089	10.85115458	4.748230283	15.59938486	0.235308703	62.64543248	53.12724659	33.93242272	8.892153617	22.41455527	15.75284014	12.05943815	2.024985775	3.319564014	5.035404208	24.24865252	-0.646341463	73	76	67	72	63	53	84	64	88	67	75	74	65	63	60	48	84
